         4758053 function calls (4748771 primitive calls) in 10.335 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    13321    0.008    0.000    0.015    0.000 /usr/lib/python3.6/os.py:742(encode)
       56    0.000    0.000    0.015    0.000 /usr/local/lib/python3.6/dist-packages/requests/adapters.py:290(get_connection)
       56    0.002    0.000    0.014    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/response.py:441(from_httplib)
    13090    0.006    0.000    0.014    0.000 /usr/lib/python3.6/os.py:687(__iter__)
      322    0.002    0.000    0.013    0.000 /usr/local/lib/python3.6/dist-packages/requests/structures.py:42(__init__)
       49    0.002    0.000    0.013    0.000 /usr/lib/python3.6/inspect.py:1087(getfullargspec)
      595    0.005    0.000    0.013    0.000 /usr/lib/python3.6/queue.py:147(get)
      427    0.005    0.000    0.012    0.000 /usr/lib/python3.6/_collections_abc.py:824(update)
    48163    0.011    0.000    0.011    0.000 /usr/local/lib/python3.6/dist-packages/bs4/builder/_lxml.py:222(_prefix_for_namespace)
     1498    0.006    0.000    0.011    0.000 /usr/lib/python3.6/urllib/parse.py:394(urlsplit)
       56    0.000    0.000    0.011    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/poolmanager.py:266(connection_from_url)
     4814    0.008    0.000    0.011    0.000 /usr/lib/python3.6/_collections_abc.py:672(keys)
      231    0.001    0.000    0.010    0.000 /usr/lib/python3.6/http/cookiejar.py:625(eff_request_host)
       56    0.000    0.000    0.010    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/poolmanager.py:206(connection_from_host)
    98/49    0.001    0.000    0.010    0.000 /usr/lib/python3.6/inspect.py:2181(_signature_from_callable)
       56    0.000    0.000    0.010    0.000 /usr/local/lib/python3.6/dist-packages/requests/models.py:548(prepare_cookies)
       56    0.000    0.000    0.009    0.000 /usr/local/lib/python3.6/dist-packages/requests/cookies.py:136(get_cookie_header)
    27111    0.009    0.000    0.009    0.000 {method 'decode' of 'bytes' objects}
       56    0.000    0.000    0.009    0.000 /usr/local/lib/python3.6/dist-packages/urllib3/poolmanager.py:229(connection_from_context)
     1071    0.002    0.000    0.009    0.000 /usr/lib/python3.6/urllib/parse.py:747(quote)
      210    0.001    0.000    0.009    0.000 /usr/lib/python3.6/http/cookiejar.py:991(set_ok_path)
       49    0.001    0.000    0.009    0.000 /usr/local/lib/python3.6/dist-packages/requests/models.py:347(prepare_url)
       98    0.001    0.000    0.009    0.000 /usr/local/lib/python3.6/dist-packages/bs4/builder/_lxml.py:115(prepare_markup)
      217    0.001    0.000    0.009    0.000 /usr/lib/python3.6/http/cookiejar.py:636(request_path)
      427    0.001    0.000    0.008    0.000 /usr/lib/python3.6/http/cookiejar.py:666(escape_path)
       49    0.003    0.000    0.008    0.000 /usr/lib/python3.6/inspect.py:2100(_signature_from_function)
     1134    0.004    0.000    0.008    0.000 /usr/lib/python3.6/_collections_abc.py:657(get)
       56    0.003    0.000    0.008    0.000 /usr/lib/python3.6/email/feedparser.py:471(_parse_headers)
